QualifyingAreaName,TotalPopulation,Female,White_Male,White_Female,FreeColoredPopulation,FreeColored_Female,Slave_Male,FreePersons,FreePersons_White_Male,FreePersons_ColoredPersons,FreePersons_ColoredPersons_Female,SlavePopulation_Female,DisabledWhite_DeafandDumb,InsaneandIdioticPersons_AtPublicCharge,PersonsEmployedinMining,PersonsEmployedinCommerce,PersonsEmployedinOceanNavigation,PersonsEmployedEngineersProfessional,CollegeUniversityStudents,PrimaryCommonSchoolStudents,Male,WhitePopulation,FreeColored_Male,SlavePopulation,Slave_Female,FreePersons_White,FreePersons_White_Female,FreePersons_ColoredPersons_Male,SlavePopulation_Male,DisabledWhite,InsaneandIdioticPersons,InsaneandIdioticPersons_AtPrivateCharge,PersonsEmployedinAgriculture,PersonsEmployedinManufacturingTrade,PersonsEmployedinLandNavigation,PensionersofRevolutionaryWarorMilitaryService,AcademyGrammarSchoolStudents
"Autauga County, Alabama",14342,7079,3230,2987,16,6,4023,6233,3230,16,6,4086,1,3,0,3,1,47,0,548,7263,6217,10,8109,4086,6217,2987,10,4023,14,9,6,5439,193,6,3,50
"Baldwin County, Alabama",2951,1331,640,521,83,33,930,1244,640,83,33,777,0,0,0,10,0,8,0,110,1620,1161,50,1707,777,1161,521,50,930,2,1,1,513,213,0,0,0
"Barbour County, Alabama",12024,5899,3415,3054,7,3,2706,6476,3415,7,3,2842,5,0,0,94,1,40,0,347,6125,6469,4,5548,2842,6469,3054,4,2706,6,0,0,4558,144,1,1,206
"Benton County, Alabama",14260,6991,5851,5509,6,1,1413,11366,5851,6,1,1481,7,2,13,50,0,0,0,1076,7269,11360,5,2894,1481,11360,5509,5,1413,32,20,18,3579,287,0,12,180
"Bibb County, Alabama",8284,4038,3253,3003,5,3,991,6261,3253,5,3,1032,2,1,0,18,0,7,0,350,4246,6256,2,2023,1032,6256,3003,2,991,2,5,4,2141,147,0,4,0
"Blount County, Alabama",5570,2773,2644,2581,1,0,152,5226,2644,1,0,192,2,1,0,5,0,3,0,154,2797,5225,1,344,192,5225,2581,1,152,5,3,2,1444,17,0,5,0
"Butler County, Alabama",8685,4294,3177,3015,23,10,1201,6215,3177,23,10,1269,1,2,0,26,0,33,0,202,4391,6192,13,2470,1269,6192,3015,13,1201,13,10,8,2631,121,0,3,236
"Chambers County, Alabama",17333,8510,5262,4926,4,0,3557,10192,5262,4,0,3584,1,0,0,55,0,79,0,680,8823,10188,4,7141,3584,10188,4926,4,3557,10,15,15,4988,253,0,5,427
"Cherokee County, Alabama",8773,4324,3935,3717,9,7,512,7661,3935,9,7,600,9,1,0,12,2,26,0,52,4449,7652,2,1112,600,7652,3717,2,512,17,5,4,2199,83,0,3,0
"Clarke County, Alabama",8640,4145,2236,1992,17,5,2247,4245,2236,17,5,2148,3,0,0,37,0,39,0,216,4495,4228,12,4395,2148,4228,1992,12,2247,12,7,7,3217,122,8,5,136
"Conecuh County, Alabama",8197,4013,2275,2101,4,1,1906,4380,2275,4,1,1911,2,2,0,22,0,36,0,151,4184,4376,3,3817,1911,4376,2101,3,1906,8,9,7,1686,84,0,0,146
"Coosa County, Alabama",6995,3363,2580,2278,12,5,1045,4870,2580,12,5,1080,3,1,0,58,0,38,0,110,3632,4858,7,2125,1080,4858,2278,7,1045,11,3,2,2183,272,1,3,60
"Covington County, Alabama",2435,1166,1068,987,9,6,198,2064,1068,9,6,173,1,0,0,0,0,0,0,59,1269,2055,3,371,173,2055,987,3,198,7,4,4,675,0,0,2,0
"Dale County, Alabama",7397,3597,3530,3279,8,4,266,6817,3530,8,4,314,2,1,0,0,0,1,0,71,3800,6809,4,580,314,6809,3279,4,266,23,19,18,63,1,0,3,0
"Dallas County, Alabama",25199,12307,4265,3657,69,32,8590,7991,4265,69,32,8618,14,1,0,105,0,84,0,195,12892,7922,37,17208,8618,7922,3657,37,8590,36,26,25,10906,318,0,2,189
"Dekalb County, Alabama",5929,2872,2890,2699,0,0,167,5589,2890,0,0,173,0,0,0,5,0,1,0,164,3057,5589,0,340,173,5589,2699,0,167,0,0,0,1076,42,0,3,147
"Fayette County, Alabama",6942,3409,3050,2911,0,0,483,5961,3050,0,0,498,1,0,0,5,0,24,0,273,3533,5961,0,981,498,5961,2911,0,483,3,3,3,2075,49,0,7,0
"Franklin County, Alabama",14270,6885,4350,3886,29,11,3017,8265,4350,29,11,2988,3,2,0,57,0,35,1,447,7385,8236,18,6005,2988,8236,3886,18,3017,12,11,9,5374,176,0,2,25
"Greene County, Alabama",24024,11330,4149,3407,37,15,8523,7593,4149,37,15,7908,2,0,0,0,0,108,0,173,12694,7556,22,16431,7908,7556,3407,22,8523,8,6,6,9729,200,0,8,242
"Henry County, Alabama",5787,2786,2463,2238,2,1,537,4703,2463,2,1,547,1,0,NA,NA,NA,NA,0,329,3001,4701,1,1084,547,4701,2238,1,537,1,2,2,NA,NA,NA,0,122
"Jackson County, Alabama",15715,7853,6980,6883,36,19,865,13899,6980,36,19,951,9,4,0,35,0,51,0,535,7862,13863,17,1816,951,13863,6883,17,865,29,24,20,4853,173,4,18,0
"Jefferson County, Alabama",7131,3476,2875,2611,9,5,776,5495,2875,9,5,860,1,1,NA,NA,NA,NA,0,464,3655,5486,4,1636,860,5486,2611,4,776,9,3,2,NA,NA,NA,5,0
"Lauderdale County, Alabama",14485,7149,4800,4647,69,31,2498,9516,4800,69,31,2471,6,4,0,68,5,37,0,456,7336,9447,38,4969,2471,9447,4647,38,2498,13,9,5,4714,371,36,2,85
"Lawrence County, Alabama",13313,6566,3705,3438,25,16,3033,7168,3705,25,16,3112,5,1,0,0,0,0,0,600,6747,7143,9,6145,3112,7143,3438,9,3033,11,5,4,4180,0,0,10,25
"Limestone County, Alabama",14374,6997,3891,3607,36,16,3466,7534,3891,36,16,3374,2,7,12,30,0,20,0,683,7377,7498,20,6840,3374,7498,3607,20,3466,11,16,9,4946,236,0,5,155
"Lowndes County, Alabama",19539,9572,3707,3249,14,5,6251,6970,3707,14,5,6318,0,0,0,0,0,44,0,100,9967,6956,9,12569,6318,6956,3249,9,6251,0,0,0,7516,119,0,1,247
"Macon County, Alabama",11247,5428,2890,2479,27,16,2918,5396,2890,27,16,2933,6,2,0,24,0,24,0,368,5819,5369,11,5851,2933,5369,2479,11,2918,9,6,4,3973,23,0,2,243
"Madison County, Alabama",25706,12618,6301,5996,144,70,6713,12441,6301,144,70,6552,7,11,0,98,1,101,0,1167,13088,12297,74,13265,6552,12297,5996,74,6713,28,27,16,8528,579,15,14,125
"Marengo County, Alabama",17264,8198,2915,2435,12,2,6141,5362,2915,12,2,5761,2,1,0,22,0,30,0,201,9066,5350,10,11902,5761,5350,2435,10,6141,4,3,2,7574,114,5,3,131
"Marion County, Alabama",5847,2870,2606,2488,0,0,371,5094,2606,0,0,382,0,0,NA,NA,NA,NA,0,0,2977,5094,0,753,382,5094,2488,0,371,0,0,0,NA,NA,NA,0,0
"Marshall County, Alabama",7553,3745,3394,3294,24,7,397,6712,3394,24,7,444,13,2,0,15,0,9,0,436,3808,6688,17,841,444,6688,3294,17,397,29,13,11,1093,45,9,5,0
